cluster_id,center_lat,center_lng,radius_m,radius_km,start_date,end_date,start_year,start_month,end_year,end_month,duration_days,duration_weeks,observed_cases,expected_cases,excess_cases,obs_exp_ratio,llr,p_value,is_high_rate,is_hierarchical,is_gini,slider_value,n_case_points,cases_centroid_lat,cases_centroid_lng,center_to_case_centroid_km,cases_bbox_lat_min,cases_bbox_lat_max,cases_bbox_lng_min,cases_bbox_lng_max,cases_bbox_lat_span_km,cases_bbox_lng_span_km
215,32.750134,-117.090224,56.612323,0.05661,2024/10/30,2024/12/24,2024,10,2024,12,55,7.86,21,1.01,19.99,20.83,43.776962,0.005,True,True,False,0.00497512,30,32.749994,-117.09018,0.0161,32.749639,32.750424,-117.090404,-117.08992,0.0873,0.0453
216,32.759045,-117.201811,333.296877,0.3333,2023/3/8,2023/4/25,2023,3,2023,4,48,6.86,63,14.62,48.38,4.31,43.663256,0.005,True,True,False,0.00497512,356,32.759197,-117.202006,0.0248,32.756207,32.761694,-117.205281,-117.198711,0.6101,0.6144
217,32.736265,-117.161341,58.394543,0.05839,2022/1/19,2022/1/25,2022,1,2022,1,6,0.86,17,0.49,16.51,34.37,43.630092,0.005,True,True,False,0.00497512,85,32.736289,-117.161324,0.0031,32.735745,32.736785,-117.161513,-117.161048,0.1156,0.0435
218,32.820593,-117.184391,817.485092,0.81749,2022/10/12,2023/5/2,2022,10,2023,5,202,28.86,143,58.46,84.54,2.45,43.408173,0.005,True,True,False,0.00497512,370,32.82112,-117.18342,0.108,32.815278,32.827251,-117.192843,-117.175754,1.3313,1.5969
219,32.711909,-117.155501,94.042539,0.09404,2023/3/29,2023/5/16,2023,3,2023,5,48,6.86,65,15.6,49.4,4.17,43.368054,0.005,True,True,False,0.00497512,326,32.712414,-117.155207,0.0625,32.711235,32.712739,-117.156388,-117.154599,0.1672,0.1674
220,32.708698,-117.151477,27.858733,0.02786,2024/5/15,2024/8/13,2024,5,2024,8,90,12.86,51,9.73,41.27,5.24,43.244191,0.005,True,True,False,0.00497512,102,32.708519,-117.151503,0.02,32.708456,32.708716,-117.151763,-117.151228,0.0289,0.0501
221,32.752581,-117.251605,91.942373,0.09194,2023/9/27,2023/10/10,2023,9,2023,10,13,1.86,37,4.84,32.16,7.64,43.089521,0.005,True,True,False,0.00497512,269,32.752774,-117.251793,0.0277,32.751836,32.753403,-117.252546,-117.251081,0.1742,0.137
222,32.714179,-117.158137,64.656307,0.06466,2022/8/24,2022/9/13,2022,8,2022,9,20,2.86,153,64.97,88.03,2.36,43.055117,0.005,True,True,False,0.00497512,3259,32.714137,-117.158222,0.0092,32.713598,32.714756,-117.158793,-117.157447,0.1288,0.1259
223,32.743982,-117.191436,240.953529,0.24095,2022/11/30,2023/3/28,2022,11,2023,3,118,16.86,43,6.82,36.18,6.31,43.02021,0.005,True,True,False,0.00497512,66,32.745404,-117.191088,0.1614,32.743827,32.746102,-117.193652,-117.189189,0.253,0.4174
224,32.83987,-117.165729,881.291554,0.88129,2024/2/14,2024/12/31,2024,2,2024,12,321,45.86,145,60.08,84.92,2.41,42.865927,0.005,True,True,False,0.00497512,217,32.836604,-117.169994,0.5391,32.832278,32.843532,-117.175108,-117.162264,1.2514,1.1999
225,32.763131,-117.117741,317.789107,0.31779,2022/11/30,2023/9/5,2022,11,2023,9,279,39.86,133,52.73,80.27,2.52,42.810377,0.005,True,True,False,0.00497512,185,32.763261,-117.117784,0.015,32.761096,32.764346,-117.120596,-117.114719,0.3614,0.5495
226,32.793406,-117.254555,97.172203,0.09717,2022/1/26,2022/3/1,2022,1,2022,3,34,4.86,22,1.23,20.77,17.82,42.598277,0.005,True,True,False,0.00497512,45,32.793249,-117.254818,0.0302,32.792614,32.794069,-117.255567,-117.254084,0.1618,0.1386
227,32.710949,-117.154628,143.271397,0.14327,2024/7/17,2024/12/10,2024,7,2024,12,146,20.86,73,19.61,53.39,3.72,42.563795,0.005,True,True,False,0.00497512,163,32.711255,-117.154405,0.0399,32.709733,32.712201,-117.155985,-117.153175,0.2744,0.2629
228,32.727056,-117.167459,16.505472,0.01651,2022/7/13,2022/8/9,2022,7,2022,8,27,3.86,27,2.24,24.76,12.05,42.451611,0.005,True,True,False,0.00497512,82,32.72702,-117.167497,0.0053,32.726935,32.727126,-117.167609,-117.167288,0.0212,0.03
229,32.723576,-117.171283,89.328153,0.08933,2024/4/17,2024/4/23,2024,4,2024,4,6,0.86,13,0.19,12.81,69.48,42.321063,0.005,True,True,False,0.00497512,27,32.723672,-117.170518,0.0723,32.723391,32.724304,-117.171609,-117.170341,0.1015,0.1186
230,32.7552,-117.129352,177.326459,0.17733,2023/11/29,2024/3/5,2023,11,2024,3,97,13.86,51,9.97,41.03,5.12,42.230594,0.005,True,True,False,0.00497512,92,32.755418,-117.129516,0.0287,32.753693,32.756601,-117.131148,-117.127529,0.3234,0.3384
231,32.765054,-117.214554,500.515016,0.50052,2022/3/16,2022/6/7,2022,3,2022,6,83,11.86,63,15.18,47.82,4.15,41.841089,0.005,True,True,False,0.00497512,199,32.765789,-117.214068,0.0935,32.761075,32.769495,-117.219801,-117.20932,0.9363,0.98
232,32.7632,-117.063674,15.665049,0.01567,2023/8/16,2023/11/21,2023,8,2023,11,97,13.86,55,11.72,43.28,4.69,41.745617,0.005,True,True,False,0.00497512,94,32.763207,-117.063762,0.0082,32.763104,32.763298,-117.06384,-117.063605,0.0216,0.022
