cluster_id,center_lat,center_lng,radius_m,radius_km,start_date,end_date,start_year,start_month,end_year,end_month,duration_days,duration_weeks,observed_cases,expected_cases,excess_cases,obs_exp_ratio,llr,p_value,is_high_rate,is_hierarchical,is_gini,slider_value,n_case_points,cases_centroid_lat,cases_centroid_lng,center_to_case_centroid_km,cases_bbox_lat_min,cases_bbox_lat_max,cases_bbox_lng_min,cases_bbox_lng_max,cases_bbox_lat_span_km,cases_bbox_lng_span_km
408,32.714285,-117.158536,20.520887,0.02052,2023/10/11,2023/12/5,2023,10,2023,12,55,7.86,51,13.42,37.58,3.8,30.521787,0.01,True,True,False,0.01,197,32.714264,-117.158417,0.0114,32.714111,32.714448,-117.158714,-117.158318,0.0375,0.037
409,32.710739,-117.149912,52.194479,0.05219,2023/12/6,2024/1/9,2023,12,2024,1,34,4.86,75,26.01,48.99,2.88,30.438884,0.01,True,True,False,0.01,863,32.710673,-117.149962,0.0086,32.710279,32.711191,-117.150467,-117.149372,0.1014,0.1024
410,32.718663,-117.148543,81.379106,0.08138,2023/6/28,2023/7/4,2023,6,2023,7,6,0.86,14,0.61,13.39,22.8,30.391547,0.01,True,True,False,0.01,97,32.718361,-117.148358,0.0378,32.717932,32.719173,-117.148883,-117.147764,0.138,0.1047
411,32.732528,-117.161125,25.522389,0.02552,2024/8/14,2024/9/3,2024,8,2024,9,20,2.86,10,0.18,9.82,55.5,30.343562,0.01,True,True,False,0.01,10,32.732601,-117.161117,0.0082,32.732476,32.732756,-117.161163,-117.16093,0.0311,0.0218
412,32.827826,-117.166498,316.914912,0.31691,2022/9/28,2023/9/19,2022,9,2023,9,356,50.86,126,57.54,68.46,2.19,30.325177,0.01,True,True,False,0.01,167,32.827996,-117.16608,0.0433,32.825169,32.830507,-117.168231,-117.163682,0.5936,0.425
413,32.748936,-117.163279,42.745046,0.04275,2022/8/10,2022/8/30,2022,8,2022,8,20,2.86,16,0.94,15.06,17.03,30.29852,0.01,True,True,False,0.01,47,32.748981,-117.163302,0.0055,32.748592,32.749303,-117.163584,-117.162994,0.0791,0.0552
414,32.706328,-117.151935,12.229158,0.01223,2023/10/11,2023/12/5,2023,10,2023,12,55,7.86,25,3.1,21.9,8.06,30.277817,0.01,True,True,False,0.01,46,32.706355,-117.151972,0.0046,32.706242,32.706433,-117.152059,-117.151893,0.0212,0.0155
415,32.708139,-117.153277,17.65247,0.01765,2024/4/3,2024/4/23,2024,4,2024,4,20,2.86,20,1.78,18.22,11.24,30.174524,0.01,True,True,False,0.01,94,32.708228,-117.15336,0.0126,32.708111,32.708297,-117.153464,-117.153115,0.0207,0.0327
416,32.801166,-117.165007,195.713397,0.19571,2023/9/27,2023/10/3,2023,9,2023,10,6,0.86,10,0.19,9.81,53.37,29.96044,0.01,True,True,False,0.01,22,32.801221,-117.164998,0.0062,32.800454,32.801881,-117.166919,-117.164122,0.1587,0.2614
417,32.714392,-117.155484,73.077893,0.07308,2024/6/19,2024/12/24,2024,6,2024,12,188,26.86,61,18.66,42.34,3.27,29.925076,0.01,True,True,False,0.01,101,32.714616,-117.155292,0.0307,32.713881,32.715027,-117.156219,-117.154763,0.1274,0.1362
